tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
5741	Giardia intestinalis	5699725	0	live	GL50803_0093938	GL50803_0093938, GL50803_93938	Triosephosphate isomerase, cytosolic	Triosephosphate isomerase, cytosolic		5	NC_051860.1	2891129	2891902	plus	1		
5741	Giardia intestinalis	5701815	0	live	GL50803_0016975	GL50803_0016975, GL50803_16975	DNA topoisomerase II	DNA topoisomerase II		5	NC_051860.1	2286375	2290850	minus	1		
5741	Giardia intestinalis	3974679	0	live	NEWENTRY		Record to support submission of GeneRIFs for a gene not in Gene (Giardia duodenalis; Giardia lamblia; Lamblia intestinalis).										
5741	Giardia intestinalis	5698959	0	live	GL50803_0014048	GL50803_0014048, GL50803_14048	Microtubule binding protein EB1	Microtubule binding protein EB1		4	NC_051859.1	1420802	1421518	minus	1		
5741	Giardia intestinalis	5698640	0	live	GL50803_00112103	GL50803_00112103, GL50803_112103	Arginine deiminase	Arginine deiminase		3	NC_051858.1	1764668	1766410	minus	1		
5741	Giardia intestinalis	5698500	0	live	GL50803_00100955	GL50803_00100955, GL50803_100955	Mitotic spindle checkpoint protein MAD2	Mitotic spindle checkpoint protein MAD2		4	NC_051859.1	1711572	1712183	plus	1		
5741	Giardia intestinalis	5698060	0	live	GL50803_008364	GL50803_008364, GL50803_8364	Thymidine kinase	Thymidine kinase		4	NC_051859.1	2457306	2458484	plus	1		
5741	Giardia intestinalis	5702883	0	live	GL50803_0016945	GL50803_0016945, GL50803_16945	Kinesin-13	Kinesin-13		3	NC_051858.1	1004434	1006578	minus	1		
5741	Giardia intestinalis	5702771	0	live	GL50803_00102890	GL50803_00102890, GL50803_102890	putative WD-repeat family protein	putative WD-repeat family protein		3	NC_051858.1	851549	852640	minus	1		
5741	Giardia intestinalis	5699649	0	live	GL50803_006430	GL50803_006430, GL50803_6430	14-3-3 protein	14-3-3 protein		5	NC_051860.1	1068829	1069575	plus	1		
5741	Giardia intestinalis	5697352	0	live	GL50803_0015004	GL50803_0015004, GL50803_15004	putative NADPH oxidoreductase	putative NADPH oxidoreductase		5	NC_051860.1	3682612	3683106	minus	1		
5741	Giardia intestinalis	5697339	0	live	GL50803_0015009	GL50803_0015009, GL50803_15009	Flavohemoprotein	Flavohemoprotein		5	NC_051860.1	3690615	3691991	plus	1		
5741	Giardia intestinalis	5702925	0	live	GL50803_0013346	GL50803_0013346, GL50803_13346	Dmc1b	Dmc1b		3	NC_051858.1	1068629	1069735	minus	1		
5741	Giardia intestinalis	5697168	0	live	GL50803_0011654	GL50803_0011654, GL50803_11654	Alpha-1 giardin	Alpha-1 giardin		3	NC_051858.1	48647	49534	minus	1		
5741	Giardia intestinalis	5702592	0	live	GL50803_0017587	GL50803_0017587, GL50803_17587	CTP synthase	CTP synthase		4	NC_051859.1	849361	851223	minus	1		
5741	Giardia intestinalis	5702259	0	live	GL50803_0011118	GL50803_0011118, GL50803_11118	Enolase	Enolase		5	NC_051860.1	1604052	1605389	plus	1		
5741	Giardia intestinalis	5702007	0	live	GL50803_0010829	GL50803_0010829, GL50803_10829	Glucosamine-6-phosphate deaminase	Glucosamine-6-phosphate deaminase		1	NC_051856.1	1317573	1318364	plus	1		
5741	Giardia intestinalis	5701961	0	live	GL50803_008245	GL50803_008245, GL50803_8245	Glucosamine-6-phosphate deaminase	Glucosamine-6-phosphate deaminase		1	NC_051856.1	1413846	1414646	plus	1		
5741	Giardia intestinalis	5701811	0	live	GL50803_001695	GL50803_001695, GL50803_1695	Rab11	Rab11		5	NC_051860.1	2297004	2297654	minus	1		
5741	Giardia intestinalis	5701619	0	live	GL50803_00114609	GL50803_00114609, GL50803_114609	Pyruvate-flavodoxin oxidoreductase	Pyruvate-flavodoxin oxidoreductase		2	NC_051857.1	1122338	1126099	plus	1		
5741	Giardia intestinalis	5701450	0	live	GL50803_0097219	GL50803_0097219, GL50803_97219	Fibrillarin	Fibrillarin		5	NC_051860.1	3835550	3836533	minus	1		
5741	Giardia intestinalis	5701142	0	live	GL50803_0016453	GL50803_0016453, GL50803_16453	Carbamate kinase	Carbamate kinase		2	NC_051857.1	375571	376521	plus	1		
5741	Giardia intestinalis	5700838	0	live	GL50803_006148	GL50803_006148, GL50803_6148	Alanyl dipeptidyl peptidase	Alanyl dipeptidyl peptidase		1	NC_051856.1	366980	369265	plus	1		
5741	Giardia intestinalis	5700403	0	live	GL50803_0014993	GL50803_0014993, GL50803_14993	Diphosphate-fructose-6-phosphate 1-phosphotransferase	Diphosphate-fructose-6-phosphate 1-phosphotransferase		5	NC_051860.1	3476589	3478223	minus	1		
5741	Giardia intestinalis	5700179	0	live	GL50803_0013452	GL50803_0013452, GL50803_13452	Regulator of nonsense transcripts 1-like protein	Regulator of nonsense transcripts 1-like protein		4	NC_051859.1	129463	133377	plus	1		
5741	Giardia intestinalis	5699827	0	live	GL50803_003861	GL50803_003861, GL50803_3861	Alcohol dehydrogenase 3	Alcohol dehydrogenase 3		3	NC_051858.1	208391	209617	minus	1		
5741	Giardia intestinalis	5699393	0	live	GL50803_0017333	GL50803_0017333, GL50803_17333	Kinesin-2	Kinesin-2		1	NC_051856.1	695853	698009	plus	1		
5741	Giardia intestinalis	5698405	0	live	GL50803_00103891	GL50803_00103891, GL50803_103891	Chaperonin 60	Chaperonin 60		2	NC_051857.1	257423	259066	minus	1		
5741	Giardia intestinalis	5698010	0	live	GL50803_0015869	GL50803_0015869, GL50803_15869	GTP-binding nuclear protein RAN/TC4	GTP-binding nuclear protein RAN/TC4		5	NC_051860.1	845541	846221	plus	1		
5741	Giardia intestinalis	5703171	0	live	GL50803_005435	GL50803_005435, GL50803_5435	Cyst wall protein 2	Cyst wall protein 2		3	NC_051858.1	1478538	1479626	minus	1		
5741	Giardia intestinalis	5702976	0	live	GL50803_0011043	GL50803_0011043, GL50803_11043	Fructose-bisphosphate aldolase	Fructose-bisphosphate aldolase		3	NC_051858.1	1159266	1160237	plus	1		
5741	Giardia intestinalis	5700314	0	live	GL50803_007556	GL50803_007556, GL50803_7556	Acid phosphatase	Acid phosphatase		5	NC_051860.1	3111224	3112426	plus	1		
5741	Giardia intestinalis	5700210	0	live	GL50803_0012091	GL50803_0012091, GL50803_12091	Macrophage migration inhibitory factor	Macrophage migration inhibitory factor		4	NC_051859.1	74684	75028	minus	1		
5741	Giardia intestinalis	5700141	0	live	GL50803_0011364	GL50803_0011364, GL50803_11364	Kinase, AGC Akt	Kinase, AGC Akt		4	NC_051859.1	202606	204366	minus	1		
5741	Giardia intestinalis	5700065	0	live	GL50803_009827	GL50803_009827, GL50803_9827	Thioredoxin reductase	Thioredoxin reductase		2	NC_051857.1	690478	691422	minus	1		
5741	Giardia intestinalis	5699752	0	live	GL50803_003256	GL50803_003256, GL50803_3256	Epsin related protein	Epsin related protein		5	NC_051860.1	2838080	2839297	minus	1		
